Title,Authors,Description,Cleaned_Description,Fiction
Meditations: On the Monk Who Dwells in Daily Life,"By Moore, Thomas","Sometimes in their chanting monks will land upon a note and sing it in florid fashion, one syllable of text for fifty notes of chant. Melisma, they call it.Living a melismatic life in imitation of plainchant, we may stop on an experience, a place, a person, or a memory and rhapsodize in imagination. Some like to meditate or contemplate melismatically, while others prefer to draw, build, paint, or dance whatever their eye has fallen upon.Living one point after another, is one form of experience, and it can be emphatically productive. But stopping for melisma gives the soul its reason for being.",sometimes chanting monk land upon note sing florid fashion one syllable text fifty note chant melisma call itliving melismatic life imitation plainchant may stop experience place person memory rhapsodize imagination some like meditate contemplate melismatically others prefer draw build paint dance whatever eye fallen uponliving one point another one form experience emphatically productive but stopping melisma give soul reason,False
Jackie by Josie: A Novel,"By Preston, Caroline","Follows a thirtyish graduate who unexpectedly finds herself helping a celebrity biographer research the life of Jacqueline Kennedy Onassis, and ends up discovering surprising parallels between her own life and that of the queen of Camelot",follows thirtyish graduate unexpectedly find helping celebrity biographer research life jacqueline kennedy onassis end discovering surprising parallel life queen camelot,True
Joshua and the City,"By Girzone, Joseph F.","A contemporary city faces turmoil and devastation until it is visited by the serene figure of Joshua, who presents an alternative, love-based approach to life while addressing such issues as poverty, racism, and AIDS. 150,000 first printing. $150,000 ad/promo.",a contemporary city face turmoil devastation visited serene figure joshua present alternative lovebased approach life addressing issue poverty racism aid 150000 first printing 150000 adpromo,False
Written by Herself: Autobiographies of American Women: An Anthology,"By Conway, Jill Ker (EDT)","The bestselling author of The Road from Coorain presents an extraordinarily powerful anthology of the autobiographical writings of 25 women, literary predecessors and contemporaries that include Jane Addams, Zora Neale Hurst, Harriet Jacobs, Ellen Glasgow, Maya Angelou, Sara Josephine Baker, Margaret Mead, Gloria Steinem, and Maxine Hong Kingston.",the bestselling author the road coorain present extraordinarily powerful anthology autobiographical writing 25 woman literary predecessor contemporary include jane addams zora neale hurst harriet jacob ellen glasgow maya angelou sara josephine baker margaret mead gloria steinem maxine hong kingston,False
George Meany And His Times: A Biography,"By Robinson, Archie",Draws on interviews and unpublished documents to re-create the life and times of the outspoken and influential labor leader and the drama of the labor movement in which he played a central role,draw interview unpublished document recreate life time outspoken influential labor leader drama labor movement played central role,False
Conflicting Accounts: The Creation and Crash of the Saatchi and Saatchi Advertising Empire,"By Goldman, Kevin","On December 16, 1994, a bloodletting took place in the stylish sixth-floor boardroom at Saatchi & Saatchi Company PLC, once the world's largest advertising agency holding company. Maurice Saatchi, the 48 year-old chairman who co-founded the company in 1970 with his older brother Charles, was fired by the board of directors under threat by the firm's largest shareholders. Less than a month later, Maurice started a rival ad agency and quickly snapped up former Saatchi & Saatchi clients, most importantly British Airways. Kevin Goldman, the former daily advertising columnist for the Wall Street Journal, spoke to everyone connected with this headline-making saga -- including Maurice Saatchi and his reclusive brother Charles -- and witnessed important business meetings, including Maurice Saatchi's winning pitch to British Airways. Goldman traces every step the Saatchi brothers took, from their youth as Iraqi Jewish immigrants in North London to their business merger in 1970, when, with little more than sheer audacity, the opened an ad agency with a full-page announcement ad in the London Sunday Times. Through bold and brash actions, the agency began an acquisitions binge, taking over many of the ad industry's giants -- including Ted Bates, Backer & Spielvogel, Dancer Fitzgerald Sample, and Garland-Compton -- to become the number one ad company in the world. But, once they acquired a company, the brothers lost interest, often refusing to meet with its executives again. This disdain would come back to haunt them. Also chronicled is the brothers' rich lifestyle, which critics claim was funded by the company. This tale features a rich cast of supporting players: Jeremy Sinclair, a creative advertising genius who was fiercely loyal to the brothers, was one of the executives who resigned after Maurice was fired. Bill Muirhead, another loyalist, was responsible for keeping clients happy. Robert Louis-Dreyfus, a globe-trotting native of France, was brought in by the Saatchis in 1989 when the company was teetering on the edge of bankruptcy. Louis-Dreyfus brought in Charles Scott, a self-described numbers cruncher uncomfortable with the glitzy world of advertising, to help sort out the company's complex finances. And leading the anti-Maurice movement was David Herro, a thirty-three-year-old American money manager whose group owned approximately 10 percent of Saatchi stock. Built into the Saatchi story is the bigger picture of the dramatic changes in advertising in the 1980s, such as the merger mania and ad agency consolidations that swept Madison Avenue, including the British takeover of major agencies. The story of the decline and crash of Saatchi & Saatchi is a universal tale of corporate greed and ineffective management. It is the story of an ugly, publicly fought civil war in an industry that is supposed to know the steep price paid for an image run amok.",on december 16 1994 bloodletting took place stylish sixthfloor boardroom saatchi saatchi company plc world largest advertising agency holding company maurice saatchi 48 yearold chairman cofounded company 1970 older brother charles fired board director threat firm largest shareholder le month later maurice started rival ad agency quickly snapped former saatchi saatchi client importantly british airway kevin goldman former daily advertising columnist wall street journal spoke everyone connected headlinemaking saga including maurice saatchi reclusive brother charles witnessed important business meeting including maurice saatchis winning pitch british airway goldman trace every step saatchi brother took youth iraqi jewish immigrant north london business merger 1970 little sheer audacity opened ad agency fullpage announcement ad london sunday time through bold brash action agency began acquisition binge taking many ad industry giant including ted bates backer spielvogel dancer fitzgerald sample garlandcompton become number one ad company world but acquired company brother lost interest often refusing meet executive this disdain would come back haunt also chronicled brother rich lifestyle critic claim funded company this tale feature rich cast supporting player jeremy sinclair creative advertising genius fiercely loyal brother one executive resigned maurice fired bill muirhead another loyalist responsible keeping client happy robert louisdreyfus globetrotting native france brought saatchis 1989 company teetering edge bankruptcy louisdreyfus brought charles scott selfdescribed number cruncher uncomfortable glitzy world advertising help sort company complex finance and leading antimaurice movement david herro thirtythreeyearold american money manager whose group owned approximately 10 percent saatchi stock built saatchi story bigger picture dramatic change advertising 1980s merger mania ad agency consolidation swept madison avenue including british takeover major agency the story decline crash saatchi saatchi universal tale corporate greed ineffective management it story ugly publicly fought civil war industry supposed know steep price paid image run amok,False
Henry VIII (English Monarchs Series),"By Scarisbrick, J. J.","This detailed biography concentrates on the domestic life of the monarch, foreign affairs in which he was involved and his influence on religion. Bibliogs",this detailed biography concentrate domestic life monarch foreign affair involved influence religion bibliogs,False
The Moral Intelligence of Children,"By Coles, Robert","The award-winning author of The Spiritual Life of Children shares his thoughts on how to teach morality to children, defining moral intelligence and explaining how to foster a child's conscience and spiritual growth. 75,000 first printing. Tour.",the awardwinning author the spiritual life child share thought teach morality child defining moral intelligence explaining foster child conscience spiritual growth 75000 first printing tour,False
Becoming Soul Mates: Cultivating Spiritual Intimacy in the Early Years of Marriage,"By Parrott, Les","Every couple has a restless aching, not just to know God individually but to experience God together. But how? How do you really allow God to fill the soul of your marriage? Becoming Soul Mates gives you a road map for cultivating rich spiritual intimacy in your relationship. Written by the creators of the dynamic Saving Your Marriage Before It Starts book and program, becoming Soul Mates is a unique and insightful devotional that helps you dig deep for a strong spiritual foundation in your marriage. Fifty-two practical weekly devotions help you and your partner cross the hurdles of marriage to grow closer than you&apos;ve ever imagined. In each session, you&apos;ll find: - An insightful devotion that focuses on marriage-related topics - A key passage of Scripture - Questions that will spark discussions on crucial issues - Insights from real-life soul mates like Pat and Shirley Boone, Bill and Vonette Bright, Norm and Joyce Wright, and John and Barbi Townsend - Questions that will help you and your partner better understand each other&apos;s unique needs and remember them in prayer during the week - A brief prayer that will help you both draw closer together and close to God. Becoming Soul Mates is a valuable resource for mining the rich potential of your marriage. Its principles, proven in the Parrotts&apos; own relationship, will help you make your journey as a couple all God intends it to be. With the strength that comes from a deeply shared spiritual intimacy, your marriage can flourish in the midst of life&apos;s challenges. Start building on the closeness you&apos;ve got today -- and reap the rewards of a deeper, more satisfying relationship in the years ahead.",every couple restless aching know god individually experience god together but how really allow god fill soul marriage becoming soul mate give road map cultivating rich spiritual intimacy relationship written creator dynamic saving your marriage before it start book program becoming soul mate unique insightful devotional help dig deep strong spiritual foundation marriage fiftytwo practical weekly devotion help partner cross hurdle marriage grow closer youaposve ever imagined in session youaposll find an insightful devotion focus marriagerelated topic a key passage scripture question spark discussion crucial issue insight reallife soul mate like pat shirley boone bill vonette bright norm joyce wright john barbi townsend question help partner better understand otheraposs unique need remember prayer week a brief prayer help draw closer together close god becoming soul mate valuable resource mining rich potential marriage it principle proven parrottsapos relationship help make journey couple god intends with strength come deeply shared spiritual intimacy marriage flourish midst lifeaposs challenge start building closeness youaposve got today reap reward deeper satisfying relationship year ahead,False
Care of the Soul : A Guide for Cultivating Depth and Sacredness in Everyday Life,"By Moore, Thomas","A therapist draws on the world's religions, music, art, and his own experiences with patients to examine the connections between spirituality and the problems of individuals and society. Reprint. 150,000 first printing. $200,000 ad/promo.",a therapist draw world religion music art experience patient examine connection spirituality problem individual society reprint 150000 first printing 200000 adpromo,False
Sunset at Rosalie: A Novel,"By McLaughlin, Ann L.",Tells the story of a young girl and her family's country life in Mississippi during the years prior to World War I,tell story young girl family country life mississippi year prior world war i,True
"The Girlfriends' Guide to Surviving the First Year of Motherhood, Packaging May Vary","By Iovine, Vicki","When it comes to your new baby, everyone from Dr. Spock to Dr. Brazleton has an armful of advice. But no one's delivering any tips on how you can care for yourself. Now, four-time delivery room veteran Vicki Iovine answers your questions, calms your fears, and cracks you up as only a girlfriend can, with straight advice and hilarious observations on... ""Baby euphoria"": Is it a mind-altering drug?""Husband? What Husband?"": Taking care of the big baby, as well as the little baby""I Want My Old Body Back!"": What you can fix and what you can't""The Droning Phenomenon"": The inability to discuss anything but your baby for more than thirty seconds""Do I Have to Become Carol Brady?"": Conquering your fear of being a less-than-perfect mother""Competitive Mothering"": Coping with know-it-alls, finger-pointers, and others who try to ""Out-Mom"" youNOTE: Pausing to read this book may be the only selfish thing you do all year, since you'll have time for nothing else!",when come new baby everyone dr spock dr brazleton armful advice but one delivering tip care now fourtime delivery room veteran vicki iovine answer question calm fear crack girlfriend straight advice hilarious observation baby euphoria is mindaltering drughusband what husband taking care big baby well little babyi want my old body back what fix cantthe droning phenomenon the inability discus anything baby thirty secondsdo i have become carol brady conquering fear lessthanperfect mothercompetitive mothering coping knowitalls fingerpointers others try outmom younote pausing read book may selfish thing year since youll time nothing else,False
"New Lands, New Men","By Goetzmann, William H.",Examines the adventures of the explorers during the seventeenth through the nineteenth centuries and shows how the impetus to explore transcended national interests and imperialist ambitions,examines adventure explorer seventeenth nineteenth century show impetus explore transcended national interest imperialist ambition,False
Reinventing Government: How the Entrepreneurial Spirit is Transforming the Public Sector (Plume),"By Osborne, David and Gaebler, Ted",Describes how decentralization and entrepreneurship can revitalize government and outlines ten principles guiding an entrepreneurial public organization,describes decentralization entrepreneurship revitalize government outline ten principle guiding entrepreneurial public organization,False
Proverbs For The People,"By Price-Thompson, Tracy (EDT) and Stovall, Taressa (EDT)","Featuring contributions from such noted writers as Pearl Cleage, Omar Tyree, Timmothy McCann, and Earl Sewell, a dramatically rendered anthology of stories, drawn from African, African-American, and Biblical proverbs, is filled with an abundance of wit, inspiration, and wisdom.",featuring contribution noted writer pearl cleage omar tyree timmothy mccann earl sewell dramatically rendered anthology story drawn african africanamerican biblical proverb filled abundance wit inspiration wisdom,True
Re-Inventing the Corporation: Transforming Your Job and Your Company for the New Information Society,"By Naisbitt, John and Aburdene, Patricia",Describes how the new information society is altering the nature of the workplace and how some corporations are responding,describes new information society altering nature workplace corporation responding,False
Elvis in the Morning,"By Buckley, William F.","This is a novel about friendship, a novel that spans the decades that changed America forever. Orson is a young boy whose mother works at a U.S. Army base in Germany in the 1950s. There, he becomes a fan of a G.I. stationed at the base, one Elvis Presley, whose music is played over and over on the radio. When Orson is caught stealing recordings of Elvis's tunes from the PX, the attendant publicity catches the star's attention, and he comes to visit his young fan. Thus begins a lifelong friendship. As Elvis's career rockets ever higher and his behavior becomes ever more erratic, the two share many adventures. The sixties explode, and Elvis becomes the icon of the nation, while Orson, a college demonstrator, drifts away from regular life while looking for something of substance to believe in. Each man is an emblem of his time, as social conventions crumble, barriers fall, and the cultural landscape changes forever.A panorama of change and dissent, of the ability of friends to stay true despite distance and time, Elvis in the Morning portrays a nation in change and the effects of celebrity on innocence.",this novel friendship novel span decade changed america forever orson young boy whose mother work u army base germany 1950s there becomes fan gi stationed base one elvis presley whose music played radio when orson caught stealing recording elvis tune px attendant publicity catch star attention come visit young fan thus begin lifelong friendship a elvis career rocket ever higher behavior becomes ever erratic two share many adventure the sixty explode elvis becomes icon nation orson college demonstrator drift away regular life looking something substance believe each man emblem time social convention crumble barrier fall cultural landscape change forevera panorama change dissent ability friend stay true despite distance time elvis morning portrays nation change effect celebrity innocence,True
ON THE WING: The Life of Birds: From Feathers to Flight,"By Brooks, Bruce",Takes a close-up look at the remarkable physiology and behavior of birds,take closeup look remarkable physiology behavior bird,False
Bringing Down the House: The Inside Story of Six M.I.T. Students Who Took Vegas for Millions,"By Mezrich, Ben","The #1 national bestseller, now a major motion picture, 21—the amazing inside story about a gambling ring of M.I.T. students who beat the system in Vegas—and lived to tell how.Robin Hood meets the Rat Pack when the best and the brightest of M.I.T.’s math students and engineers take up blackjack under the guidance of an eccentric mastermind. Their small blackjack club develops from an experiment in counting cards on M.I.T.’s campus into a ring of card savants with a system for playing large and winning big. In less than two years they take some of the world’s most sophisticated casinos for more than three million dollars. But their success also brings with it the formidable ire of casino owners and launches them into the seedy underworld of corporate Vegas with its private investigators and other violent heavies.",the 1 national bestseller major motion picture 21—the amazing inside story gambling ring mit student beat system vegas—and lived tell howrobin hood meet rat pack best brightest mit’s math student engineer take blackjack guidance eccentric mastermind their small blackjack club develops experiment counting card mit’s campus ring card savant system playing large winning big in le two year take world’s sophisticated casino three million dollar but success also brings formidable ire casino owner launch seedy underworld corporate vega private investigator violent heavy,False
"Trust Me, Mom-Everyone Else Is Going!: The New Rules for Mothering Adolescent Girls","By Cohen-Sandler, Roni, Ph.D.","From ""queen bees"" to ""gamma girls"" to the ""odd girl out,"" adolescent girls are all over the news. But whether a girl is popular or struggling to fit in, outgoing or reserved, her mother worries about how she is coping with her new, often scary, teenage social world: Who is she with, what is she really doing, is she safe and, of course, is she happy? In this essential survival guide, Roni Cohen-Sandler teaches parents to ""use their BRAIN""—Be flexible, Respectful, Attuned, Involved, and Non-controlling—to build trust and help their daughters navigate these complex social waters. Addressing such issues as popularity, boyfriends, parties and partying, discipline, privacy, body image, and identity, Cohen-Sandler provides a new model for parenting adolescent daughters for today's generation of mothers.",from queen bee gamma girl odd girl adolescent girl news but whether girl popular struggling fit outgoing reserved mother worry coping new often scary teenage social world who really safe course happy in essential survival guide roni cohensandler teach parent use brain—be flexible respectful attuned involved noncontrolling—to build trust help daughter navigate complex social water addressing issue popularity boyfriend party partying discipline privacy body image identity cohensandler provides new model parenting adolescent daughter today generation mother,False
The Quotable Ronald Reagan,"By Reagan, Ronald and Hannaford, Peter","The Quotable Ronald Reagan presents the best of the Great Communicator, with hundreds of quotations from his public life. Following Reagan from his October 1964 nationally televised speech on behalf of Barry Goldwater's presidential candidacy to his valedictory letter of November 1994, telling the country that he had been diagnosed with Alzheimer's disease, The Quotable Ronald Reagan is the essential collection of this speaker's words.",the quotable ronald reagan present best great communicator hundred quotation public life following reagan october 1964 nationally televised speech behalf barry goldwaters presidential candidacy valedictory letter november 1994 telling country diagnosed alzheimers disease the quotable ronald reagan essential collection speaker word,False
Leadership Is an Art,"By De Pree, Max","Explores leadership as an art that must be felt, experienced, and created and discusses how to apply leadership abilities and a sense of integrity to business management situations",explores leadership art must felt experienced created discus apply leadership ability sense integrity business management situation,False
Dark Fields of the Republic: Poems 1991-1995,"By Rich, Adrienne Cecile","A theater of voices of men and women, the dead and the living, over time and across continents, the poems of Dark Fields of the Republic take conversations, imaginary and real, actions taken for better or worse, out of histories and songs to extend the poet's reach of witness and power of connection--and then invites the reader to participate.",a theater voice men woman dead living time across continent poem dark field republic take conversation imaginary real action taken better worse history song extend poet reach witness power connectionand invite reader participate,False
